DTM,EARN_RT,ASSET_AMT,EVAL_AMT,DEAL_RT,BUY_AMT,BUY_AVG,SELL_AMT,SELL_AVG
20250418,0.6373,1000000,1006373,0.43,1514175,757087,1520675,760337
20250423,0.33894,1006373,1009784,0.45,769600,769600,773075,773075
20250423,0.33894,1006373,1009784,0.45,769600,769600,773075,773075
20250425,0.04919,1004367,1004861,0.17,310960,155480,311480,155740
20250425,0.16039,49877,49957,0.17,47840,23920,47920,23960
20250512,0.12056,49767,49827,0.17,34920,34920,34980,34980
20250514,0.11038,49827,49882,0.47,11645,11645,11700,11700
20250515,2009.64677,49882,1052334,0.42,590000,590000,592500,592500
20250516,-0.35406,995580,992055,-0.47,736470,736470,733005,733005
